current_link,title,date,supersedes_links,notification_user,notification_id
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9999,"Implementation of Section 51-A of Unlawful Activities Prevention Act (UAPA), 1967- 19th and 20th Update dated August 17, and August 18, 2015 of Al-Qaida Sanctions List","August 18, 2015",,BS_ViewMasDirections,9999
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9499,Interest Rates on Advances,"January 19, 2015",,BS_ViewMasDirections,9499
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=10500,"Auction for Sale (Re-issue) of ‘7.50 per cent Government Stock, 2034'","July 11, 2016",,BS_ViewMasDirections,10500
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=8999,Master Circular on Non-Resident Ordinary Rupee (NRO) Account,"May 3, 2000",,BS_ViewMasDirections,8999
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9998,Auction of Government of India Dated Securities,"August 24, 2015",,BS_ViewMasDirections,9998
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=10499,Auction for Sale (Re-issue) of 8.17 per cent Government Stock 2044,"July 11, 2016",,BS_ViewMasDirections,10499
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9498,Flexible Structuring of Long Term Project Loans to Infrastructure and Core Industries,"January 19, 2015",,BS_ViewMasDirections,9498
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=8998,"Master Circular on Credit Card, Debit Card and Rupee Denominated Cobranded Prepaid Card operations of banks","July 1, 2014",,BS_ViewMasDirections,8998
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9997,Auction for Sale (Re-issue) of 7.68 per cent Government Stock 2023,"August 24, 2015",,BS_ViewMasDirections,9997
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=10498,Amendment to Master Direction on KYC – Operationalisation of Central KYC Registry (CKYCR) and KYC norms for Foreign Portfolio Investors (FPIs),"July 8, 2016",,BS_ViewMasDirections,10498
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9497,Auction of Government of India Dated Securities,"January 19, 2015",,BS_ViewMasDirections,9497
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=11000,Prudential Guidelines on Capital Adequacy and Market Discipline- New Capital Adequacy Framework (NCAF) - Eligible Credit Rating Agencies – INFOMERICS Valuation and Rating Pvt Ltd. (INFOMERICS),"June 13, 2017",,BS_ViewMasDirections,11000
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9996,Auction for Sale (Re-issue) of 7.72 per cent Government Stock 2025,"August 24, 2015",,BS_ViewMasDirections,9996
https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=9496,"Auction for Sale (Re-issue) of 8.27 per cent Government Stock, 2020","January 19, 2015",,BS_ViewMasDirections,9496
