current_link,title,date,supersedes_links,notification_user,notification_id
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12704&Mode=0,Master Directions on Fraud Risk Management in Non-Banking Financial Companies (NBFCs) (including Housing Finance Companies),"July 15, 2024",https://rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=10622,NotificationUser,12704
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12703&Mode=0,Master Directions on Fraud Risk Management in Urban Cooperative Banks (UCBs) / State Cooperative Banks (StCBs) / Central Cooperative Banks (CCBs),"July 15, 2024",https://www.rbi.org.in/Scripts/BS_ViewMasCirculardetails.aspx?id=9808,NotificationUser,12703
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12702&Mode=0,Master Directions on Fraud Risk Management in Commercial Banks (including Regional Rural Banks) and All India Financial Institutions,"July 15, 2024",https://www.rbi.org.in/Scripts/BS_ViewMasDirections.aspx?id=10477,NotificationUser,12702
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12701&Mode=0,Withdrawal of Circulars – Internal Review,"July 12, 2024",,NotificationUser,12701
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12700&Mode=0,Basel III Capital Regulations - Eligible Credit Rating Agencies (ECAI),"July 10, 2024",,NotificationUser,12700
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11999&Mode=0,Card transactions in Contactless mode - Relaxation in requirement of Additional Factor of Authentication,"December 04, 2020",,NotificationUser,11999
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11499&Mode=0,Trade Credit Policy – Revised framework,"March 13, 2019",,NotificationUser,11499
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11998&Mode=0,24x7 Availability of Real Time Gross Settlement (RTGS) System,"December 04, 2020",,NotificationUser,11998
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11498&Mode=0,Auction for Sale (Re-issue) of Government Stock (GS),"March 11, 2019",,NotificationUser,11498
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12699&Mode=0,Remittances to International Financial Services Centres (IFSCs) under the Liberalised Remittance Scheme (LRS),"July 10, 2024",,NotificationUser,12699
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11997&Mode=0,Establishment of Branch Office (BO) / Liaison Office (LO) / Project Office (PO) or any other place of business in India by foreign law firms,"November 23, 2020",,NotificationUser,11997
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11497&Mode=0,Auction of Government of India Dated Securities,"March 11, 2019",,NotificationUser,11497
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11496&Mode=0,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Amendment) Regulations, 2019","January 31, 2019",,NotificationUser,11496
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11996&Mode=0,Maintenance of Escrow Account with a Scheduled Commercial Bank,"November 17, 2020",,NotificationUser,11996
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11495&Mode=0,White Label ATMs (WLAs) in India – Review of Guidelines,"March 7, 2019",,NotificationUser,11495
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11995&Mode=0,"Foreign Exchange Management Act, 1999 (FEMA)- Compounding of Contraventions under FEMA, 1999","November 17, 2020",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11253&Mode=0,NotificationUser,11995
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12698&Mode=0,"Export-Import Bank of India’s GOI-supported Line of Credit of USD 2.50 mn to the Government of Co-operative Republic of Guyana, for installation of Solar Photo Voltaic Power Plant at Cheddi Jagan International Airport","July 08, 2024",,NotificationUser,12698
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12697&Mode=0,Online submission of Form A2: Removal of limits on amount of remittance,"July 03, 2024",,NotificationUser,12697
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11994&Mode=0,"Discontinuation of Returns/Reports under Foreign Exchange Management Act, 1999","November 13, 2020",,NotificationUser,11994
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12696&Mode=0,Release of foreign exchange for Miscellaneous Remittances,"July 03, 2024",,NotificationUser,12696
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11993&Mode=0,Formation of new district in the State of Nagaland – Assignment of Lead Bank Responsibility,"November 13, 2020",,NotificationUser,11993
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12695&Mode=0,"Exclusion of “Nagar Urban Co-operative Bank Limited” from the Second Schedule of the Reserve Bank of India Act, 1934","June 25, 2024",,NotificationUser,12695
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11992&Mode=0,Exim Bank's Government of India supported Line of Credit (LoC) of USD 20.10 million to the Government of the Republic of Nicaragua,"November 05, 2020",,NotificationUser,11992
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11991&Mode=0,Co-Lending by Banks and NBFCs to Priority Sector,"November 05, 2020",https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11376&Mode=0,NotificationUser,11991
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11494&Mode=0,Interest Subvention Scheme for Short Term Crop Loans during the years 2018-19 and 2019-20,"March 7, 2019",,NotificationUser,11494
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12694&Mode=0,Priority Sector Lending – Amendments to the Master Directions,"June 21, 2024",,NotificationUser,12694
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11990&Mode=0,Opening of Current Accounts by Banks - Need for Discipline,"November 02, 2020",,NotificationUser,11990
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11493&Mode=0,Hedging of exchange rate risk by Foreign Portfolio Investors (FPIs) under Voluntary Retention Route,"March 01, 2019",,NotificationUser,11493
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11492&Mode=0,‘Voluntary Retention Route’ (VRR) for Foreign Portfolio Investors (FPIs) investment in debt,"March 01, 2019",,NotificationUser,11492
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11989&Mode=0,Scheme for grant of ex-gratia payment of difference between compound interest and simple interest for six months to borrowers in specified loan accounts (1.3.2020 to 31.8.2020),"October 26, 2020",,NotificationUser,11989
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11491&Mode=0,"Foreign Exchange Management (Export and import of Currency) (Amendment) Regulations, 2019","February 26, 2019",,NotificationUser,11491
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12693&Mode=0,International Trade Settlement in Indian Rupees (INR) – Opening of additional Current Account for settlement of trade transactions,"June 11, 2024",,NotificationUser,12693
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11490&Mode=0,Auction for Sale (Re-issue) of Government Stock (GS),"March 01, 2019",,NotificationUser,11490
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11988&Mode=0,Review of regulatory framework for Housing Finance Companies (HFCs),"October 22, 2020",,NotificationUser,11988
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11987&Mode=0,Digital Payment Transactions – Streamlining QR Code infrastructure,"October 22, 2020",,NotificationUser,11987
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12692&Mode=0,"Export-Import Bank of India (Exim Bank)’s Government of India-supported Line of Credit of USD 23.37 mn to the Government of the Co-operative Republic of Guyana (GO-GUY), for procurement of two Hindustan 228-201 aircraft from Hindustan Aeronautics Ltd.","June 11, 2024",,NotificationUser,12692
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11986&Mode=0,Framework for Recognition of a Self-Regulatory Organisation for Payment System Operators,"October 22, 2020",,NotificationUser,11986
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12691&Mode=0,"Foreign Exchange Management (Overseas Investment) Directions, 2022 - Investments in Overseas Funds","June 07, 2024",,NotificationUser,12691
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11489&Mode=0,Auction of Government of India Dated Securities,"March 1, 2019",,NotificationUser,11489
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12690&Mode=0,"Amendment to Master Direction - Reserve Bank of India (Interest Rate on Deposits) Directions, 2016","June 07, 2024",,NotificationUser,12690
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11488&Mode=0,"Foreign Exchange Management (Establishment in India of a branch office or a liaison office or a project office or any other place of business) (Amendment) Regulations, 2018","August 31, 2018",,NotificationUser,11488
https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=11487&Mode=0,Storage of Notes and Coins,"February 28, 2019",,NotificationUser,11487
